,arena,card_name,outcome,evo,count
0,Arena 1,Archers,Lost,0,11
1,Arena 1,Archers,Won,0,5
2,Arena 1,Baby Dragon,Lost,0,1
3,Arena 1,Baby Dragon,Won,0,4
4,Arena 1,Executioner,Lost,0,1
5,Arena 1,Executioner,Lost,1,2
6,Arena 1,Goblin Cage,Lost,0,152
7,Arena 1,Goblin Cage,Lost,1,1
8,Arena 1,Goblin Cage,Won,0,762
9,Arena 1,Goblin Hut,Lost,0,3097
10,Arena 1,Goblin Hut,Won,0,3289
11,Arena 1,Hunter,Won,0,3
12,Arena 1,Knight,Won,0,1
13,Arena 1,Minions,Lost,0,9736
14,Arena 1,Minions,Won,0,8373
15,Arena 1,Musketeer,Lost,0,23
16,Arena 1,Musketeer,Won,0,140
17,Arena 1,P.E.K.K.A,Lost,0,1
18,Arena 1,P.E.K.K.A,Won,0,2
19,Arena 1,Prince,Lost,1,1
20,Arena 1,Spear Goblins,Lost,0,93
21,Arena 1,Spear Goblins,Won,0,532
22,Arena 2,Archers,Lost,0,2
23,Arena 2,Archers,Won,0,3
24,Arena 2,Arrows,Lost,0,2
25,Arena 2,Arrows,Lost,1,1
26,Arena 2,Arrows,Won,0,9
27,Arena 2,Arrows,Won,1,1
28,Arena 2,Baby Dragon,Lost,0,1
29,Arena 2,Baby Dragon,Lost,1,22
30,Arena 2,Baby Dragon,Won,0,15
31,Arena 2,Baby Dragon,Won,1,8
32,Arena 2,Bats,Won,1,1
33,Arena 2,Executioner,Lost,0,22
34,Arena 2,Executioner,Won,0,8
35,Arena 2,Furnace,Won,1,1
36,Arena 2,Goblin Cage,Lost,0,719
37,Arena 2,Goblin Cage,Won,0,1257
38,Arena 2,Goblin Hut,Lost,0,9726
39,Arena 2,Goblin Hut,Won,0,7290
40,Arena 2,Hunter,Lost,0,1
41,Arena 2,Hunter,Won,0,4
42,Arena 2,Knight,Lost,0,11
43,Arena 2,Knight,Won,0,32
44,Arena 2,Knight,Won,1,4
45,Arena 2,Minions,Lost,0,2225
46,Arena 2,Minions,Won,0,3697
47,Arena 2,Musketeer,Lost,0,92
48,Arena 2,Musketeer,Won,0,289
49,Arena 2,P.E.K.K.A,Lost,0,1
50,Arena 2,P.E.K.K.A,Won,0,9
51,Arena 2,Skeletons,Lost,0,1887
52,Arena 2,Skeletons,Won,0,1966
53,Arena 2,Spear Goblins,Lost,0,327
54,Arena 2,Spear Goblins,Won,0,434
55,Arena 2,Wall Breakers,Won,0,3
56,Arena 3,Archers,Lost,0,7
57,Arena 3,Archers,Won,0,32
58,Arena 3,Archers,Won,1,1
59,Arena 3,Arrows,Lost,0,24
60,Arena 3,Arrows,Lost,1,2
61,Arena 3,Arrows,Won,0,62
62,Arena 3,Arrows,Won,1,3
63,Arena 3,Baby Dragon,Lost,0,3
64,Arena 3,Baby Dragon,Won,0,34
65,Arena 3,Baby Dragon,Won,1,1
66,Arena 3,Bats,Lost,0,1
67,Arena 3,Battle Ram,Lost,0,869
68,Arena 3,Battle Ram,Lost,1,6
69,Arena 3,Battle Ram,Won,0,1331
70,Arena 3,Battle Ram,Won,1,21
71,Arena 3,Bomb Tower,Lost,0,1
72,Arena 3,Cannon,Lost,0,2184
73,Arena 3,Cannon,Lost,1,18
74,Arena 3,Cannon,Won,0,1848
75,Arena 3,Cannon,Won,1,13
76,Arena 3,Dart Goblin,Lost,1,1
77,Arena 3,Executioner,Lost,0,1
78,Arena 3,Executioner,Won,0,6
79,Arena 3,Goblin Cage,Lost,0,747
80,Arena 3,Goblin Cage,Lost,1,3
81,Arena 3,Goblin Cage,Won,0,982
82,Arena 3,Goblin Cage,Won,1,8
83,Arena 3,Goblin Hut,Lost,0,9519
84,Arena 3,Goblin Hut,Won,0,6935
85,Arena 3,Hunter,Lost,0,9
86,Arena 3,Hunter,Won,0,18
87,Arena 3,Knight,Lost,0,55
88,Arena 3,Knight,Lost,1,1
89,Arena 3,Knight,Won,0,195
90,Arena 3,Knight,Won,1,8
91,Arena 3,Minions,Lost,0,2829
92,Arena 3,Minions,Lost,1,2
93,Arena 3,Minions,Won,0,4085
94,Arena 3,Minions,Won,1,10
95,Arena 3,Musketeer,Lost,0,120
96,Arena 3,Musketeer,Lost,1,3
97,Arena 3,Musketeer,Won,0,378
98,Arena 3,Musketeer,Won,1,9
99,Arena 3,P.E.K.K.A,Won,0,3
100,Arena 3,Prince,Won,0,1
101,Arena 3,Prince,Won,1,1
102,Arena 3,Royal Ghost,Lost,0,7
103,Arena 3,Royal Ghost,Won,0,30
104,Arena 3,Skeletons,Lost,0,1705
105,Arena 3,Skeletons,Won,0,2001
106,Arena 3,Spear Goblins,Lost,0,352
107,Arena 3,Spear Goblins,Lost,1,6
108,Arena 3,Spear Goblins,Won,0,460
109,Arena 3,Spear Goblins,Won,1,12
110,Arena 3,Valkyrie,Lost,0,8
111,Arena 3,Valkyrie,Lost,1,1
112,Arena 3,Valkyrie,Won,0,36
113,Arena 3,Valkyrie,Won,1,4
114,Arena 3,Wall Breakers,Lost,0,2
115,Arena 3,Wall Breakers,Won,0,2
116,Arena 4,Archers,Lost,0,13
117,Arena 4,Archers,Won,0,49
118,Arena 4,Archers,Won,1,3
119,Arena 4,Arrows,Lost,0,25
120,Arena 4,Arrows,Lost,1,1
121,Arena 4,Arrows,Won,0,79
122,Arena 4,Arrows,Won,1,8
123,Arena 4,Baby Dragon,Lost,0,6
124,Arena 4,Baby Dragon,Won,0,52
125,Arena 4,Baby Dragon,Won,1,8
126,Arena 4,Barbarian Barrel,Won,0,1
127,Arena 4,Bats,Won,0,1
128,Arena 4,Battle Ram,Lost,0,1510
129,Arena 4,Battle Ram,Lost,1,508
130,Arena 4,Battle Ram,Won,0,2166
131,Arena 4,Battle Ram,Won,1,209
132,Arena 4,Bomb Tower,Lost,0,760
133,Arena 4,Bomb Tower,Won,0,854
134,Arena 4,Bomb Tower,Won,1,1
135,Arena 4,Cannon,Lost,0,1615
136,Arena 4,Cannon,Lost,1,559
137,Arena 4,Cannon,Won,0,1409
138,Arena 4,Cannon,Won,1,176
139,Arena 4,Electro Spirit,Lost,0,110
140,Arena 4,Electro Spirit,Lost,1,1
141,Arena 4,Electro Spirit,Won,0,197
142,Arena 4,Electro Spirit,Won,1,4
143,Arena 4,Executioner,Lost,0,6
144,Arena 4,Executioner,Won,0,23
145,Arena 4,Fire Spirit,Lost,0,31
146,Arena 4,Fire Spirit,Lost,1,3
147,Arena 4,Fire Spirit,Won,0,86
148,Arena 4,Fire Spirit,Won,1,7
149,Arena 4,Fireball,Lost,0,16
150,Arena 4,Fireball,Lost,1,5
151,Arena 4,Fireball,Won,0,18
152,Arena 4,Fireball,Won,1,7
153,Arena 4,Goblin Cage,Lost,0,345
154,Arena 4,Goblin Cage,Lost,1,5
155,Arena 4,Goblin Cage,Won,0,519
156,Arena 4,Goblin Cage,Won,1,17
157,Arena 4,Goblin Hut,Lost,0,3844
158,Arena 4,Goblin Hut,Won,0,3736
159,Arena 4,Goblin Hut,Won,1,1
160,Arena 4,Hunter,Lost,0,4
161,Arena 4,Hunter,Won,0,10
162,Arena 4,Inferno Dragon,Lost,0,8
163,Arena 4,Inferno Dragon,Won,0,10
164,Arena 4,Inferno Dragon,Won,1,1
165,Arena 4,Inferno Tower,Lost,1,1
166,Arena 4,Knight,Lost,0,149
167,Arena 4,Knight,Lost,1,8
168,Arena 4,Knight,Won,0,241
169,Arena 4,Knight,Won,1,46
