card_1,card_2,usage_count,win_rate_percent,total_elixir_cost
Mini P.E.K.K.A,Skeleton Army,248521,54.14,7.0
Skeleton Army,Witch,241877,53.82,8.0
Mini P.E.K.K.A,Witch,208058,53.73,9.0
Goblin Barrel,Skeleton Army,197053,53.15,6.0
Mini P.E.K.K.A,Valkyrie,189832,49.84,8.0
Fireball,Mini P.E.K.K.A,188386,51.66,8.0
Arrows,Mini P.E.K.K.A,177449,52.72,7.0
Mini P.E.K.K.A,Wizard,170219,49.8,9.0
Skeleton Army,Wizard,165329,52.11,8.0
Baby Dragon,Skeleton Army,158586,51.72,7.0
Goblin Barrel,Witch,157919,53.08,8.0
Arrows,Skeleton Army,155758,51.95,6.0
Skeleton Army,Valkyrie,150144,53.97,7.0
Valkyrie,Witch,145124,53.32,9.0
Goblin Barrel,Mini P.E.K.K.A,144819,53.14,7.0
Hog Rider,Skeleton Army,139476,55.94,7.0
Goblin Barrel,The Log,133665,54.4,5.0
Giant,Mini P.E.K.K.A,133390,47.23,9.0
Witch,Wizard,130146,50.55,10.0
Baby Dragon,Mini P.E.K.K.A,129652,51.41,8.0
Barbarians,Mini P.E.K.K.A,129556,49.37,9.0
Knight,Mini P.E.K.K.A,128386,54.7,7.0
Hog Rider,Mini P.E.K.K.A,126472,53.96,8.0
Arrows,Witch,126083,52.63,8.0
Hog Rider,Witch,124470,55.79,9.0
Hog Rider,The Log,123502,52.55,6.0
Goblin Barrel,Valkyrie,123215,53.0,7.0
Baby Dragon,Witch,121582,50.25,9.0
Fireball,Knight,116590,50.42,7.0
Mega Knight,The Log,115275,56.87,9.0
Arrows,Valkyrie,113719,51.74,7.0
Valkyrie,Wizard,112869,49.26,9.0
Knight,The Log,112602,53.21,5.0
Skeleton Army,The Log,111941,57.01,5.0
Mega Knight,Skeleton Army,110794,56.79,10.0
Mega Knight,Witch,104894,56.76,12.0
Fireball,Valkyrie,104218,50.34,8.0
Hog Rider,Valkyrie,103798,54.11,8.0
Arrows,Knight,102958,50.42,6.0
Ice Spirit,The Log,102639,49.13,3.0
Fireball,Giant,102345,46.47,9.0
Tesla,The Log,101677,53.74,6.0
Fireball,Musketeer,99858,46.96,8.0
Royal Ghost,Skeleton Army,99678,59.9,6.0
The Log,Witch,98665,56.77,7.0
Mini P.E.K.K.A,The Log,98345,55.98,6.0
Fireball,Hog Rider,98178,50.1,8.0
Arrows,Goblin Barrel,96247,51.77,6.0
Prince,Skeleton Army,95532,50.68,8.0
Goblin Barrel,Wizard,94891,51.68,8.0
Baby Dragon,Goblin Barrel,93573,50.74,7.0
Goblin Barrel,Mega Knight,93464,56.31,10.0
Mini P.E.K.K.A,Musketeer,93330,54.22,8.0
Firecracker,The Log,92858,54.61,5.0
Fireball,Skeleton Army,92536,57.14,7.0
Mega Knight,Mini P.E.K.K.A,91607,55.89,11.0
Skeletons,The Log,91492,49.66,3.0
The Log,Valkyrie,90633,55.51,6.0
Cannon,Hog Rider,90321,49.11,7.0
Arrows,Fireball,89065,46.95,7.0
Goblin Barrel,Knight,88548,53.16,6.0
Barbarians,Wizard,85360,45.85,10.0
Arrows,Hog Rider,84610,52.89,7.0
Archers,Mini P.E.K.K.A,83402,55.68,7.0
Mini P.E.K.K.A,Minions,83134,54.66,7.0
Inferno Dragon,Skeleton Army,83002,55.22,7.0
Royal Ghost,Witch,82572,60.78,8.0
Fireball,The Log,82113,50.68,6.0
Knight,Witch,81758,56.21,8.0
Goblin Barrel,Hog Rider,81635,55.69,7.0
Fireball,Witch,80836,57.48,9.0
Cannon,The Log,80818,50.43,5.0
Hog Rider,Wizard,80604,52.34,9.0
Hog Rider,Knight,80447,54.25,7.0
Barbarians,Skeleton Army,80445,50.93,8.0
Firecracker,Mega Knight,79412,53.68,10.0
Baby Dragon,Valkyrie,79352,49.94,8.0
Arrows,Mega Knight,77852,54.59,10.0
Arrows,Giant,77183,44.76,8.0
Goblin Barrel,Goblin Gang,76675,50.24,6.0
Hog Rider,Skeletons,76644,46.56,5.0
Arrows,Minions,76573,46.23,6.0
Archers,Knight,76482,51.83,6.0
Dart Goblin,The Log,76020,54.72,5.0
Mini P.E.K.K.A,Royal Ghost,75869,60.54,7.0
Arrows,Wizard,75839,49.76,8.0
Baby Dragon,Wizard,75042,47.14,9.0
Prince,Witch,74568,49.6,10.0
Cannon,Fireball,74101,46.05,7.0
Mini P.E.K.K.A,Prince,73703,50.23,9.0
Fireball,Skeletons,73211,43.0,5.0
