card,usage_count,win_count,total_plays,win_percentage,card_type
Furnace,11000,10582,20041,52.8,NON_EVO
Suspicious Bush,4510,4010,8074,49.67,NON_EVO
Elixir Collector,6679,3535,8815,40.1,NON_EVO
Giant,104045,77331,170890,45.25,NON_EVO
Fireball,210038,192841,387889,49.72,NON_EVO
Bomb Tower,16917,15093,30635,49.27,NON_EVO
Minion Horde,24553,22246,44693,49.78,NON_EVO
Skeleton Barrel,28384,21376,45537,46.94,NON_EVO
Goblinstein,4103,3436,7091,48.46,NON_EVO
Fisherman,8071,5803,12911,44.95,NON_EVO
Electro Giant,9775,6354,14583,43.57,NON_EVO
Archers,60293,58101,109445,53.09,NON_EVO
Skeleton King,31416,28245,56890,49.65,NON_EVO
Electro Dragon,13694,6537,18125,36.07,NON_EVO
Mega Knight,120613,125827,229188,54.9,NON_EVO
Void,1297,1080,2324,46.47,NON_EVO
Ice Golem,23739,18708,43229,43.28,NON_EVO
Mighty Miner,11006,11207,21725,51.59,NON_EVO
Phoenix,5141,2272,6761,33.6,NON_EVO
Royal Ghost,102998,105549,188859,55.89,NON_EVO
Barbarian Hut,1517,919,2374,38.71,NON_EVO
Tombstone,44992,34247,73468,46.61,NON_EVO
Night Witch,12446,6817,16511,41.29,NON_EVO
Princess,65194,68084,127083,53.57,NON_EVO
Knight,167398,161622,311745,51.84,NON_EVO
Goblin Drill,3791,2518,5974,42.15,NON_EVO
Boss Bandit,23714,23557,45804,51.43,NON_EVO
Barbarian Barrel,72113,44209,107876,40.98,NON_EVO
Giant Skeleton,20927,16268,33349,48.78,NON_EVO
Earthquake,7959,7061,14321,49.31,NON_EVO
Ice Spirit,91125,85876,172067,49.91,NON_EVO
Bandit,41429,30740,65990,46.58,NON_EVO
Golem,21049,13195,30210,43.68,NON_EVO
Minions,87968,81646,158959,51.36,NON_EVO
Monk,3488,2873,6023,47.7,NON_EVO
Valkyrie,195319,179478,348658,51.48,NON_EVO
Giant Snowball,39867,29316,66561,44.04,NON_EVO
Goblin Gang,91609,83316,164793,50.56,NON_EVO
Bomber,55496,43667,91845,47.54,NON_EVO
Guards,65956,53439,110346,48.43,NON_EVO
Hunter,9797,8270,16778,49.29,NON_EVO
Electro Spirit,47002,35905,79770,45.01,NON_EVO
Goblin Giant,16823,7126,21148,33.7,NON_EVO
Archer Queen,8200,6603,14200,46.5,NON_EVO
Miner,35125,25137,58132,43.24,NON_EVO
Mother Witch,12337,8329,18452,45.14,NON_EVO
Royal Hogs,31022,24855,53620,46.35,NON_EVO
Prince,103459,88790,179073,49.58,NON_EVO
Zap,142036,111405,232462,47.92,NON_EVO
The Log,208149,219550,408619,53.73,NON_EVO
Rocket,28282,22518,50359,44.71,NON_EVO
Poison,37187,21256,56781,37.44,NON_EVO
Cannon Cart,2849,1902,3889,48.91,NON_EVO
Firecracker,67091,66786,127153,52.52,NON_EVO
Rage,47230,33157,73844,44.9,NON_EVO
Vines,39369,42937,79878,53.75,NON_EVO
Fire Spirit,20445,15393,34711,44.35,NON_EVO
Sparky,32108,25039,52074,48.08,NON_EVO
Bowler,15244,9956,23171,42.97,NON_EVO
Goblin Hut,56075,43943,96562,45.51,NON_EVO
Clone,12735,8878,19776,44.89,NON_EVO
Lightning,29080,12885,38798,33.21,NON_EVO
Mini P.E.K.K.A,329403,314263,599619,52.41,NON_EVO
Mortar,4314,4312,8304,51.93,NON_EVO
Goblin Machine,7696,3344,9935,33.66,NON_EVO
Royal Recruits,18371,11383,26859,42.38,NON_EVO
