,arena,card_name,outcome,count
0,Arena 1,Archers,Lost,10753
1,Arena 1,Archers,Won,10420
2,Arena 1,Arrows,Lost,11561
3,Arena 1,Arrows,Won,10452
4,Arena 1,Baby Dragon,Lost,4
5,Arena 1,Baby Dragon,Won,35
6,Arena 1,Barbarians,Won,3
7,Arena 1,Bomber,Lost,2
8,Arena 1,Bomber,Won,8
9,Arena 1,Dart Goblin,Won,1
10,Arena 1,Electro Dragon,Lost,1
11,Arena 1,Electro Wizard,Won,1
12,Arena 1,Executioner,Lost,3
13,Arena 1,Fireball,Lost,12435
14,Arena 1,Fireball,Won,12075
15,Arena 1,Firecracker,Lost,1
16,Arena 1,Giant,Lost,12433
17,Arena 1,Giant,Won,12563
18,Arena 1,Goblin Barrel,Lost,2
19,Arena 1,Goblin Barrel,Won,7
20,Arena 1,Goblin Cage,Lost,3106
21,Arena 1,Goblin Cage,Won,3165
22,Arena 1,Goblin Drill,Lost,1
23,Arena 1,Goblin Gang,Lost,1
24,Arena 1,Goblin Hut,Lost,3097
25,Arena 1,Goblin Hut,Won,3290
26,Arena 1,Goblin Machine,Won,1
27,Arena 1,Goblins,Lost,2913
28,Arena 1,Goblins,Won,2869
29,Arena 1,Hog Rider,Lost,2
30,Arena 1,Hog Rider,Won,22
31,Arena 1,Hunter,Won,3
32,Arena 1,Inferno Dragon,Lost,1
33,Arena 1,Knight,Lost,11463
34,Arena 1,Knight,Won,11627
35,Arena 1,Mega Knight,Lost,1
36,Arena 1,Mega Knight,Won,2
37,Arena 1,Mini P.E.K.K.A,Lost,12415
38,Arena 1,Mini P.E.K.K.A,Won,12828
39,Arena 1,Minions,Lost,10532
40,Arena 1,Minions,Won,9669
41,Arena 1,Musketeer,Lost,10917
42,Arena 1,Musketeer,Won,11194
43,Arena 1,P.E.K.K.A,Lost,1
44,Arena 1,P.E.K.K.A,Won,3
45,Arena 1,Prince,Lost,7
46,Arena 1,Prince,Won,53
47,Arena 1,Princess,Lost,1
48,Arena 1,Princess,Won,1
49,Arena 1,Royal Ghost,Lost,13
50,Arena 1,Royal Ghost,Won,7
51,Arena 1,Skeleton Army,Lost,27
52,Arena 1,Skeleton Army,Won,28
53,Arena 1,Skeleton Dragons,Won,1
54,Arena 1,Spear Goblins,Lost,3207
55,Arena 1,Spear Goblins,Won,4459
56,Arena 1,Tesla,Lost,3
57,Arena 1,Valkyrie,Won,12
58,Arena 1,Wall Breakers,Won,8
59,Arena 1,Witch,Lost,14
60,Arena 1,Witch,Won,7
61,Arena 1,Wizard,Lost,3
62,Arena 1,Wizard,Won,74
63,Arena 2,Archers,Lost,3175
64,Arena 2,Archers,Won,6119
65,Arena 2,Arrows,Lost,4435
66,Arena 2,Arrows,Won,6989
67,Arena 2,Baby Dragon,Lost,30
68,Arena 2,Baby Dragon,Won,89
69,Arena 2,Barbarians,Lost,1
70,Arena 2,Barbarians,Won,1
71,Arena 2,Bats,Won,1
72,Arena 2,Bomber,Lost,6468
73,Arena 2,Bomber,Won,5064
74,Arena 2,Electro Dragon,Lost,23
75,Arena 2,Electro Dragon,Won,8
76,Arena 2,Electro Wizard,Lost,1
77,Arena 2,Electro Wizard,Won,5
78,Arena 2,Executioner,Lost,22
79,Arena 2,Executioner,Won,8
80,Arena 2,Fireball,Lost,13054
81,Arena 2,Fireball,Won,11948
82,Arena 2,Furnace,Won,2
83,Arena 2,Giant,Lost,14613
84,Arena 2,Giant,Won,13861
85,Arena 2,Giant Skeleton,Lost,1
86,Arena 2,Giant Skeleton,Won,1
87,Arena 2,Goblin Barrel,Lost,10
88,Arena 2,Goblin Barrel,Won,24
89,Arena 2,Goblin Cage,Lost,10268
90,Arena 2,Goblin Cage,Won,7474
91,Arena 2,Goblin Hut,Lost,11208
92,Arena 2,Goblin Hut,Won,8302
93,Arena 2,Goblin Machine,Lost,1
94,Arena 2,Goblin Machine,Won,5
95,Arena 2,Goblins,Lost,6731
96,Arena 2,Goblins,Won,4429
97,Arena 2,Hog Rider,Lost,3
98,Arena 2,Hog Rider,Won,37
99,Arena 2,Hunter,Lost,1
100,Arena 2,Hunter,Won,4
101,Arena 2,Ice Spirit,Won,1
102,Arena 2,Inferno Dragon,Lost,23
103,Arena 2,Inferno Dragon,Won,9
104,Arena 2,Knight,Lost,6915
105,Arena 2,Knight,Won,9570
