card_1,card_2,usage_count,win_rate_percent
Mini P.E.K.K.A,Skeleton Army,248521,54.14
Skeleton Army,Witch,241877,53.82
Mini P.E.K.K.A,Witch,208058,53.73
Goblin Barrel,Skeleton Army,197053,53.15
Mini P.E.K.K.A,Valkyrie,189832,49.84
Fireball,Mini P.E.K.K.A,188386,51.66
Arrows,Mini P.E.K.K.A,177449,52.72
Mini P.E.K.K.A,Wizard,170219,49.8
Skeleton Army,Wizard,165329,52.11
Baby Dragon,Skeleton Army,158586,51.72
Goblin Barrel,Witch,157919,53.08
Arrows,Skeleton Army,155758,51.95
Skeleton Army,Valkyrie,150144,53.97
Valkyrie,Witch,145124,53.32
Goblin Barrel,Mini P.E.K.K.A,144819,53.14
Hog Rider,Skeleton Army,139476,55.94
Goblin Barrel,The Log,133665,54.4
Giant,Mini P.E.K.K.A,133390,47.23
Witch,Wizard,130146,50.55
Baby Dragon,Mini P.E.K.K.A,129652,51.41
Barbarians,Mini P.E.K.K.A,129556,49.37
Knight,Mini P.E.K.K.A,128386,54.7
Hog Rider,Mini P.E.K.K.A,126472,53.96
Arrows,Witch,126083,52.63
Hog Rider,Witch,124470,55.79
Hog Rider,The Log,123502,52.55
Goblin Barrel,Valkyrie,123215,53.0
Baby Dragon,Witch,121582,50.25
Fireball,Knight,116590,50.42
Mega Knight,The Log,115275,56.87
Arrows,Valkyrie,113719,51.74
Valkyrie,Wizard,112869,49.26
Knight,The Log,112602,53.21
Skeleton Army,The Log,111941,57.01
Mega Knight,Skeleton Army,110794,56.79
Mega Knight,Witch,104894,56.76
Fireball,Valkyrie,104218,50.34
Hog Rider,Valkyrie,103798,54.11
Arrows,Knight,102958,50.42
Ice Spirit,The Log,102639,49.13
Fireball,Giant,102345,46.47
Tesla,The Log,101677,53.74
Fireball,Musketeer,99858,46.96
Royal Ghost,Skeleton Army,99678,59.9
The Log,Witch,98665,56.77
Mini P.E.K.K.A,The Log,98345,55.98
Fireball,Hog Rider,98178,50.1
Arrows,Goblin Barrel,96247,51.77
Prince,Skeleton Army,95532,50.68
Goblin Barrel,Wizard,94891,51.68
Baby Dragon,Goblin Barrel,93573,50.74
Goblin Barrel,Mega Knight,93464,56.31
Mini P.E.K.K.A,Musketeer,93330,54.22
Firecracker,The Log,92858,54.61
Fireball,Skeleton Army,92536,57.14
Mega Knight,Mini P.E.K.K.A,91607,55.89
Skeletons,The Log,91492,49.66
The Log,Valkyrie,90633,55.51
Cannon,Hog Rider,90321,49.11
Arrows,Fireball,89065,46.95
Goblin Barrel,Knight,88548,53.16
Barbarians,Wizard,85360,45.85
Arrows,Hog Rider,84610,52.89
Archers,Mini P.E.K.K.A,83402,55.68
Mini P.E.K.K.A,Minions,83134,54.66
Inferno Dragon,Skeleton Army,83002,55.22
Royal Ghost,Witch,82572,60.78
Fireball,The Log,82113,50.68
Knight,Witch,81758,56.21
Goblin Barrel,Hog Rider,81635,55.69
Fireball,Witch,80836,57.48
